Id,label,Domian,Kingdom,Phylum,Class,Order,Family,Genus,Species,degree,cc,bc
OTU321,OTU321,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Suilimivivens,s__Suilimivivens_aceti,9,0.409090909,0
OTU322,OTU322,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,5,0.107536765,0.263706182
OTU323,OTU323,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__norank_f__Erysipelotrichaceae,s__Erysipelotrichaceae_bacterium_MTC7,9,0.111641221,0.02489223
OTU324,OTU324,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_MD329,5,0.115441539,0.095330915
OTU325,OTU325,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_MD329,11,0.109601874,0.049711259
OTU326,OTU326,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_facile,3,0.126145553,0.0405584
OTU327,OTU327,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Petralouisia,s__Petralouisia_muris,5,0.409090909,0.001636262
OTU328,OTU328,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Kineothrix,s__Kineothrix_sp._MB12-C1,11,0.457627119,0.000992201
OTU329,OTU329,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,4,0.364864865,0.015132519
OTU33,OTU33,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Mammaliicoccus,s__Mammaliicoccus_vitulinus,0,NA,0
OTU330,OTU330,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__norank_f__Eubacteriaceae,s__Eubacteriaceae_bacterium_Marseille-Q4139,0,NA,0
OTU331,OTU331,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_thermocellus,1,0.089896274,0
OTU332,OTU332,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Anaerotruncus,s__Anaerotruncus_sp._1XD42-93,2,1,0.00017407
OTU333,OTU333,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Kineothrix,s__Kineothrix_alysoides,1,0.5,0
OTU334,OTU334,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Suilimivivens,s__Suilimivivens_aceti,3,0.116013882,0
OTU335,OTU335,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,20,0.169565217,0.106092776
OTU336,OTU336,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Roseburia,s__Roseburia_sp._1XD42-69,11,0.133181559,0.183445576
OTU337,OTU337,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__norank_f__Eubacteriaceae,s__Eubacteriaceae_bacterium_Marseille-Q4139,1,0.111747851,0
OTU338,OTU338,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_cellulolyticus,11,0.17384844,0.287605514
OTU339,OTU339,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_ventriosum,10,0.182101167,0.304051681
OTU340,OTU340,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__norank_f__Lachnospiraceae,s__Lachnospiraceae_bacterium_GAM79,3,0.5625,0
OTU341,OTU341,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_sp._MD294,18,0.12244898,0.012264711
OTU342,OTU342,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Pseudoclostridium,s__Pseudoclostridium_thermosuccinogenes,1,1,0
OTU343,OTU343,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Kineothrix,s__Kineothrix_alysoides,19,0.122834646,0.018658634
OTU344,OTU344,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Christensenellaceae,g__Luoshenia,s__Luoshenia_tenuis,10,0.179447853,0.153465429
OTU345,OTU345,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_sp._MSJd-27,0,NA,0
OTU346,OTU346,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Monoglobus,s__Monoglobus_pectinilyticus,18,0.149520767,0.221105796
OTU347,OTU347,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Suilimivivens,s__Suilimivivens_aceti,0,NA,0
OTU348,OTU348,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Dorea,s__Dorea_ammoniilytica,10,0.172058824,0.228106532
OTU349,OTU349,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_sp._14-2,3,0.278350515,0.00217588
OTU35,OTU35,d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Adlercreutzia,s__Adlercreutzia_agrestimuris,1,0.080717489,0
OTU350,OTU350,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides_johnsonii,1,0.266666667,0
OTU351,OTU351,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Aristaeellaceae,g__Aristaeella,s__Aristaeella_lactis,1,0.112068966,0
OTU352,OTU352,d__Bacteria,k__norank_d__Bacteria,p__Mycoplasmatota,c__Mollicutes,o__Entomoplasmatales,f__Spiroplasmataceae,g__Spiroplasma,s__Spiroplasma_chinense,14,0.162612926,0.050939819
OTU353,OTU353,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,3,0.083067093,0.014340636
OTU354,OTU354,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__norank_o__Eubacteriales,g__norank_o__Eubacteriales,s__Clostridiales_bacterium_CIEAF_021,12,0.174236783,0.904048969
OTU355,OTU355,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Fumia,s__Fumia_xinanensis,0,NA,0
OTU356,OTU356,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Congzhengia,s__Congzhengia_minquanensis,14,0.161490683,0.649001786
OTU357,OTU357,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Merdimmobilis,s__Merdimmobilis_hominis,1,0.6,0
OTU358,OTU358,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__norank_o__Eubacteriales,g__Intestinimonas,s__unclassified_g__Intestinimonas,15,0.110847939,0.126659859
OTU359,OTU359,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__norank_f__Oscillospiraceae,s__Eubacterium_siraeum,7,0.13153457,0.020249983
OTU36,OTU36,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_sp._OM05-9BH,17,0.122384937,0.010833764
OTU360,OTU360,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__norank_f__Erysipelotrichaceae,s__Erysipelotrichaceae_bacterium_MTC7,11,0.45,0.006962815
OTU361,OTU361,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_scindens,1,0.666666667,0
OTU362,OTU362,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_finegoldii,3,0.143031785,0.972717187
OTU363,OTU363,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_intestinalis,6,0.144266338,0.041658829
OTU364,OTU364,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_alkalicellulosi,18,0.149520767,0.233014168
OTU365,OTU365,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_scindens,16,0.167741935,0.105088428
OTU366,OTU366,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnoclostridium,s__Lachnoclostridium_edouardi,8,0.164904863,0.218128777
OTU367,OTU367,d__Bacteria,k__norank_d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Parvibacter,s__Parvibacter_caecicola,17,0.122384937,0.010833764
OTU368,OTU368,d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Paramuribaculum,s__Paramuribaculum_intestinale,0,NA,0
OTU369,OTU369,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,9,0.144,0.226125704
OTU37,OTU37,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__norank_p__Bacillota,o__norank_p__Bacillota,f__norank_p__Bacillota,g__Candidatus_Faecenecus,s__Candidatus_Faecenecus_gallistercoris,11,0.457627119,0.000992201
OTU370,OTU370,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acetivibrio,s__Acetivibrio_straminisolvens,1,0.6,0
